mibig_hits_url,query_compound
https://mibig.secondarymetabolites.org/repository/BGC0000458/knownclusterblast/region1/AAP92493.1_mibig_hits.html,viomycin
https://mibig.secondarymetabolites.org/repository/BGC0001569/knownclusterblast/region1/ANZ15837.1_mibig_hits.html,dechlorocuracomycin
https://mibig.secondarymetabolites.org/repository/BGC0000315/knownclusterblast/region1/CAB38880.1_mibig_hits.html,cda
https://mibig.secondarymetabolites.org/repository/BGC0000437/knownclusterblast/region1/AAY37651.1_mibig_hits.html,syringomycin
